,precision,recall,f1-score,support
Anxiety,0.29411764705882354,0.17857142857142858,0.22222222222222224,28.0
Comorbid,0.6387434554973822,0.6666666666666666,0.6524064171122994,183.0
Depression,0.6676646706586826,0.7663230240549829,0.7136000000000001,291.0
Normal,0.75,0.6666666666666666,0.7058823529411765,360.0
accuracy,0.6844547563805105,0.6844547563805105,0.6844547563805105,0.6844547563805105
macro avg,0.5876314433037221,0.5695569464899362,0.5735277480689246,862.0
weighted avg,0.6837769902962235,0.6844547563805105,0.6814244125436155,862.0
