,precision,recall,f1-score,support
0,0.7771428571428571,0.8607594936708861,0.8168168168168167,474.0
1,0.6538461538461539,0.6445497630331753,0.649164677804296,211.0
micro avg,0.7421555252387448,0.7941605839416058,0.7672778561354019,685.0
macro avg,0.7154945054945054,0.7526546283520308,0.7329907473105564,685.0
weighted avg,0.7391638726237266,0.7941605839416058,0.7651750630479964,685.0
samples avg,0.46925754060324826,0.4680974477958237,0.4617169373549884,685.0
