,precision,recall,f1-score,support
0,0.6071428571428571,0.864406779661017,0.7132867132867132,59.0
1,0.2696629213483146,0.8888888888888888,0.41379310344827586,27.0
micro avg,0.43352601156069365,0.872093023255814,0.5791505791505792,86.0
macro avg,0.43840288924558585,0.8766478342749529,0.5635399083674946,86.0
weighted avg,0.5011898540445705,0.872093023255814,0.6192596497327851,86.0
samples avg,0.39,0.535,0.43333333333333324,86.0
