,precision,recall,f1-score,support
Anxiety,0.0,0.0,0.0,2.0
Comorbid,0.24096385542168675,0.8,0.37037037037037035,25.0
Depression,0.0,0.0,0.0,34.0
Normal,0.7,0.1794871794871795,0.2857142857142857,39.0
accuracy,0.27,0.27,0.27,0.27
macro avg,0.23524096385542168,0.2448717948717949,0.164021164021164,100.0
weighted avg,0.3332409638554216,0.27,0.20402116402116402,100.0
