,precision,recall,f1-score,support
Anxiety,0.18181818181818182,0.14285714285714285,0.16,28.0
Comorbid,0.6237113402061856,0.6612021857923497,0.6419098143236074,183.0
Depression,0.6324786324786325,0.7628865979381443,0.6915887850467289,291.0
Normal,0.7186440677966102,0.5888888888888889,0.6473282442748092,360.0
accuracy,0.648491879350348,0.648491879350348,0.648491879350348,0.648491879350348
macro avg,0.5391630555749025,0.5389587038691315,0.5352067109112864,862.0
weighted avg,0.6519643048801655,0.648491879350348,0.6452900236760436,862.0
