,precision,recall,f1-score,support
0,0.7412844036697248,0.8523206751054853,0.7929342492639843,474.0
1,0.625,0.6398104265402843,0.6323185011709602,211.0
micro avg,0.7082785808147175,0.7868613138686131,0.7455048409405256,685.0
macro avg,0.6831422018348624,0.7460655508228848,0.7126263752174722,685.0
weighted avg,0.705465412174379,0.7868613138686131,0.7434599093404397,685.0
samples avg,0.4657772621809745,0.462877030162413,0.45746326372776486,685.0
