,precision,recall,f1-score,support
Anxiety,0.25,0.07142857142857142,0.11111111111111112,28.0
Comorbid,0.6918604651162791,0.6502732240437158,0.6704225352112675,183.0
Depression,0.6508379888268156,0.8006872852233677,0.7180277349768875,291.0
Normal,0.7253086419753086,0.6527777777777778,0.6871345029239766,360.0
accuracy,0.6832946635730859,0.6832946635730859,0.6832946635730859,0.6832946635730859
macro avg,0.5795017739796008,0.5437917146183582,0.5466739710558107,862.0
weighted avg,0.6776281101809669,0.6832946635730859,0.6753050197049639,862.0
