,precision,recall,f1-score,support
Anxiety,0.08695652173913043,0.07142857142857142,0.0784313725490196,28.0
Comorbid,0.6388888888888888,0.6284153005464481,0.6336088154269972,183.0
Depression,0.6656626506024096,0.7594501718213058,0.709470304975923,291.0
Normal,0.7064220183486238,0.6416666666666667,0.6724890829694324,360.0
accuracy,0.660092807424594,0.660092807424594,0.660092807424594,0.660092807424594
macro avg,0.5244825198947631,0.525240177615748,0.523499893980343,862.0
weighted avg,0.6582032566196845,0.660092807424594,0.6574227613358495,862.0
