,precision,recall,f1-score,support
Anxiety,0.3,0.21428571428571427,0.25,28.0
Comorbid,0.6855345911949685,0.5956284153005464,0.6374269005847952,183.0
Depression,0.6605504587155964,0.7422680412371134,0.6990291262135923,291.0
Normal,0.7078651685393258,0.7,0.7039106145251396,360.0
accuracy,0.6763341067285383,0.6763341067285383,0.6763341067285383,0.6763341067285383
macro avg,0.5884875546124726,0.5630455427058436,0.5725916603308818,862.0
weighted avg,0.6739031024931265,0.6763341067285383,0.6734041992624399,862.0
