,precision,recall,f1-score,support
Anxiety,0.4,0.07142857142857142,0.12121212121212122,28.0
Comorbid,0.6836158192090396,0.6612021857923497,0.6722222222222223,183.0
Depression,0.6812865497076024,0.8006872852233677,0.736176935229068,291.0
Normal,0.7514792899408284,0.7055555555555556,0.7277936962750716,360.0
accuracy,0.7076566125290024,0.7076566125290024,0.7076566125290024,0.7076566125290024
macro avg,0.6290954147143676,0.5597183994999612,0.5643512437346208,862.0
weighted avg,0.7019589620172445,0.7076566125290024,0.699122766672031,862.0
