,precision,recall,f1-score,support
Anxiety,0.0,0.0,0.0,28.0
Comorbid,0.6270270270270271,0.6338797814207651,0.6304347826086957,183.0
Depression,0.6096256684491979,0.7835051546391752,0.6857142857142856,291.0
Normal,0.7649006622516556,0.6416666666666667,0.6978851963746224,360.0
accuracy,0.6670533642691415,0.6670533642691415,0.6670533642691415,0.6670533642691415
macro avg,0.5003883394319701,0.5147629006816518,0.503508566174401,862.0
weighted avg,0.6583657237532002,0.6670533642691415,0.6567878109688081,862.0
