,precision,recall,f1-score,support
0,0.7546125461254612,0.8628691983122363,0.8051181102362206,474.0
1,0.6451612903225806,0.6635071090047393,0.6542056074766355,211.0
micro avg,0.7233201581027668,0.8014598540145985,0.760387811634349,685.0
macro avg,0.6998869182240209,0.7631881536584878,0.7296618588564281,685.0
weighted avg,0.7208983636810703,0.8014598540145985,0.7586326531818083,685.0
samples avg,0.478538283062645,0.47273781902552203,0.46867749419953597,685.0
