,precision,recall,f1-score,support
Anxiety,0.15151515151515152,0.17857142857142858,0.16393442622950818,28.0
Comorbid,0.657608695652174,0.6612021857923497,0.659400544959128,183.0
Depression,0.6424581005586593,0.7903780068728522,0.7087827426810478,291.0
Normal,0.7526132404181185,0.6,0.6676970633693972,360.0
accuracy,0.6635730858468677,0.6635730858468677,0.6635730858468677,0.6635730858468677
macro avg,0.5510487970360258,0.5575379053091576,0.5499536943097703,862.0
weighted avg,0.6757318902086596,0.6635730858468677,0.6634422095070935,862.0
