,precision,recall,f1-score,support
0,0.5757575757575758,1.0,0.7307692307692308,57.0
1,0.0,0.0,0.0,23.0
micro avg,0.5757575757575758,0.7125,0.6368715083798883,80.0
macro avg,0.2878787878787879,0.5,0.3653846153846154,80.0
weighted avg,0.4102272727272728,0.7125,0.520673076923077,80.0
samples avg,0.57,0.47,0.5033333333333333,80.0
