,precision,recall,f1-score,support
Anxiety,0.07692307692307693,0.03571428571428571,0.04878048780487805,28.0
Comorbid,0.6823529411764706,0.6338797814207651,0.6572237960339944,183.0
Depression,0.6582633053221288,0.8075601374570447,0.7253086419753085,291.0
Normal,0.7639751552795031,0.6833333333333333,0.7214076246334311,360.0
accuracy,0.6937354988399071,0.6937354988399071,0.6937354988399071,0.6937354988399071
macro avg,0.5453786196752948,0.5401218844813571,0.5381801376119031,862.0
weighted avg,0.6886428215063816,0.6937354988399071,0.6872498468858556,862.0
