,precision,recall,f1-score,support
Anxiety,0.42857142857142855,0.10714285714285714,0.17142857142857143,28.0
Comorbid,0.6378378378378379,0.644808743169399,0.641304347826087,183.0
Depression,0.6756756756756757,0.7731958762886598,0.721153846153846,291.0
Normal,0.7359050445103857,0.6888888888888889,0.7116212338593975,360.0
accuracy,0.6890951276102089,0.6890951276102089,0.6890951276102089,0.6890951276102089
macro avg,0.6194974966488319,0.5535090913724512,0.5613769998169755,862.0
weighted avg,0.6847700254868733,0.6890951276102089,0.6823643956755524,862.0
