,precision,recall,f1-score,support
Anxiety,0.16666666666666666,0.07142857142857142,0.1,28.0
Comorbid,0.6354166666666666,0.6666666666666666,0.6506666666666666,183.0
Depression,0.6772151898734177,0.7353951890034365,0.7051070840197693,291.0
Normal,0.7339181286549707,0.6972222222222222,0.715099715099715,360.0
accuracy,0.6832946635730859,0.6832946635730859,0.6832946635730859,0.6832946635730859
macro avg,0.5533041629654304,0.5426781623302241,0.5427183664465377,862.0
weighted avg,0.6754385884403953,0.6832946635730859,0.67806735369565,862.0
