,precision,recall,f1-score,support
0,0.789980732177264,0.8649789029535865,0.8257804632426988,474.0
1,0.7087912087912088,0.6113744075829384,0.6564885496183207,211.0
micro avg,0.7689015691868759,0.7868613138686131,0.7777777777777778,685.0
macro avg,0.7493859704842364,0.7381766552682625,0.7411345064305097,685.0
weighted avg,0.7649719884773258,0.7868613138686131,0.7736336110167955,685.0
samples avg,0.46983758700696054,0.46403712296983757,0.4609435421500386,685.0
