,precision,recall,f1-score,support
Anxiety,0.0,0.0,0.0,5.0
Comorbid,0.0,0.0,0.0,20.0
Depression,0.5238095238095238,0.34375,0.4150943396226415,32.0
Normal,0.4931506849315068,0.8372093023255814,0.6206896551724138,43.0
accuracy,0.47,0.47,0.47,0.47
macro avg,0.2542400521852577,0.2952398255813954,0.25894599869876384,100.0
weighted avg,0.37967384213959554,0.47,0.3997267404033832,100.0
