,0
accuracy_score,0.4176334106728538
hamming_loss,0.39733178654292345
micro_f1,0.0
macro_f1,0.0
weighted_f1,0.0
micro_auc,0.5
macro_auc,0.5
weighted_auc,0.5
one_error,0.5823665893271461
coverage,1.1647331786542923
ranking_loss,0.3700696055684455
micro_avg_precision,0.39733178654292345
macro_avg_precision,0.39733178654292345
weighted_avg_precision,0.45590292478872757
